"","CODIGO","PLOTS","NTREAT","FACTOR","SORT","BLOCK","ROWS","COLS","SEEDS"
"1","CHACHAPOYAS_2025-04-07_1001_Sin.Luz","1001","2","Sin Luz","1","1","1","1","50"
"2","CHACHAPOYAS_2025-04-07_1002_Con.Luz","1002","1","Con Luz","2","1","1","2","50"
"3","CHACHAPOYAS_2025-04-07_1003_Con.Luz","1003","1","Con Luz","1","2","2","1","50"
"4","CHACHAPOYAS_2025-04-07_1004_Sin.Luz","1004","2","Sin Luz","2","2","2","2","50"
"5","CHACHAPOYAS_2025-04-07_1005_Sin.Luz","1005","2","Sin Luz","1","3","3","1","50"
"6","CHACHAPOYAS_2025-04-07_1006_Con.Luz","1006","1","Con Luz","2","3","3","2","50"
"7","CHACHAPOYAS_2025-04-07_1007_Sin.Luz","1007","2","Sin Luz","1","4","4","1","50"
"8","CHACHAPOYAS_2025-04-07_1008_Con.Luz","1008","1","Con Luz","2","4","4","2","50"
"9","CHACHAPOYAS_2025-04-07_1009_Sin.Luz","1009","2","Sin Luz","1","5","5","1","50"
"10","CHACHAPOYAS_2025-04-07_1010_Con.Luz","1010","1","Con Luz","2","5","5","2","50"
"11","CHACHAPOYAS_2025-04-07_1011_Con.Luz","1011","1","Con Luz","1","6","6","1","50"
"12","CHACHAPOYAS_2025-04-07_1012_Sin.Luz","1012","2","Sin Luz","2","6","6","2","50"
